27/03/2017 11:11 - NORIVAL | ID =  | CI = 19980 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 46.00
27/03/2017 11:14 - NORIVAL | ID =  | CI = 19981 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 47.80
27/03/2017 11:14 - NORIVAL | ID =  | CI = 19981 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.40
28/03/2017 10:11 - FRANCISCO | ID =  | CI = 19989 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
28/03/2017 10:11 - FRANCISCO | ID =  | CI = 19989 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 41.40
28/03/2017 10:11 - FRANCISCO | ID =  | CI = 19989 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 17.00
29/03/2017 08:48 - FRANCISCO | ID =  | CI = 20003 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.00
29/03/2017 13:06 - NORIVAL | ID =  | CI = 20008 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
30/03/2017 07:34 - SANDRA | ID =  | CI = 20014 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.03
30/03/2017 07:34 - SANDRA | ID =  | CI = 20014 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
30/03/2017 07:34 - SANDRA | ID =  | CI = 20014 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 223.70
30/03/2017 08:04 - FRANCISCO | ID =  | CI = 20017 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
30/03/2017 08:04 - FRANCISCO | ID =  | CI = 20017 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 65.60
30/03/2017 09:53 - MARTA | ID =  | CI = 20021 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
30/03/2017 09:53 - MARTA | ID =  | CI = 20021 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 7.60
30/03/2017 09:53 - MARTA | ID =  | CI = 20021 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
30/03/2017 11:46 - LUISMOREIRA | ID =  | CI = 20022 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 160.16
31/03/2017 08:03 - FRANCISCO | ID =  | CI = 20028 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
31/03/2017 08:03 - FRANCISCO | ID =  | CI = 20028 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.50
31/03/2017 12:49 - NORIVAL | ID =  | CI = 20031 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
