29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 863.50
29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 146.50
29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.90
29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 178.10
29/05/2017 08:11 - OSVALDOFLORES | ID =  | CI = 20733 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
30/05/2017 07:42 - MICHELAAUGUSTO | ID =  | CI = 20747 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 260.22
30/05/2017 07:42 - MICHELAAUGUSTO | ID =  | CI = 20747 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
30/05/2017 11:06 - FRANCISCO | ID =  | CI = 20753 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.02
30/05/2017 11:06 - FRANCISCO | ID =  | CI = 20753 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 156.55
30/05/2017 15:07 - FRANCISCO | ID =  | CI = 20757 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
30/05/2017 15:07 - FRANCISCO | ID =  | CI = 20757 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 106.10
30/05/2017 15:07 - FRANCISCO | ID =  | CI = 20757 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 52.00
30/05/2017 15:40 - SANDRA | ID =  | CI = 20759 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 235.20
